hardware,hardware_label,engine,version,operator,phase,compute_tag,kv_cache_dtype,kernel_source,rows
gb300,GB300,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,trtllm_mha,5627
gb300,GB300,sglang,0.5.10,attention,prefill,bfloat16,fp8,trtllm_mha,5627
gb300,GB300,sglang,0.5.10,attention,prefill,fp8,fp8,trtllm_mha,5627
gb300,GB300,sglang,0.5.10,attention,decode,bfloat16,bfloat16,trtllm_mha,5093
gb300,GB300,sglang,0.5.10,attention,decode,bfloat16,fp8,trtllm_mha,5093
gb300,GB300,sglang,0.5.10,mla,prefill,bfloat16,bfloat16,trtllm_mla,1540
gb300,GB300,sglang,0.5.10,mla,prefill,bfloat16,fp8,trtllm_mla,1540
gb300,GB300,sglang,0.5.10,mla,decode,bfloat16,bfloat16,trtllm_mla,2324
gb300,GB300,sglang,0.5.10,mla,decode,bfloat16,fp8,trtllm_mla,2324
gb300,GB300,trtllm,1.3.0rc10,attention,prefill,bfloat16,bfloat16,torch_flow,21064
gb300,GB300,trtllm,1.3.0rc10,attention,prefill,bfloat16,fp8,torch_flow,21064
gb300,GB300,trtllm,1.3.0rc10,attention,prefill,fp8,fp8,torch_flow,20993
gb300,GB300,trtllm,1.3.0rc10,attention,decode,bfloat16,bfloat16,torch_flow,20120
gb300,GB300,trtllm,1.3.0rc10,attention,decode,bfloat16,fp8,torch_flow,20120
gb300,GB300,trtllm,1.3.0rc10,mla,prefill,bfloat16,bfloat16,default,880
gb300,GB300,trtllm,1.3.0rc10,mla,prefill,bfloat16,fp8,default,880
gb300,GB300,trtllm,1.3.0rc10,mla,decode,bfloat16,bfloat16,default,1448
gb300,GB300,trtllm,1.3.0rc10,mla,decode,bfloat16,fp8,default,1448
gb300,GB300,vllm,0.19.0,attention,prefill,bfloat16,bfloat16,vllm_flashinfer,10908
gb300,GB300,vllm,0.19.0,attention,prefill,bfloat16,fp8,vllm_flashinfer,10908
gb300,GB300,vllm,0.19.0,attention,decode,bfloat16,bfloat16,vllm_flashinfer,8454
gb300,GB300,vllm,0.19.0,attention,decode,bfloat16,fp8,vllm_flashinfer,8454
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,triton,11174
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,attention,prefill,bfloat16,fp8,triton,11174
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,attention,prefill,fp8,fp8,triton,11174
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,attention,decode,bfloat16,bfloat16,triton,9742
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,attention,decode,bfloat16,fp8,triton,9742
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,mla,prefill,bfloat16,bfloat16,triton,1540
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,mla,decode,bfloat16,bfloat16,triton,2324
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,attention,prefill,bfloat16,bfloat16,torch_flow,21064
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,attention,prefill,bfloat16,fp8,torch_flow,21064
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,attention,prefill,fp8,fp8,torch_flow,21046
