framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,2097152,0.02736543893814087,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,4194304,0.03513952016830445,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,4194304,0.0488105583190918,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,8388608,0.07744927883148194,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,8388608,0.08880672454833985,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,16777216,0.13814335823059082,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,16777216,0.15945471763610838,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,33554432,0.247806396484375,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,33554432,0.29286304473876956,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,67108864,0.46599071502685546,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,67108864,0.5558374404907227,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,134217728,0.884395523071289,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,134217728,1.0630889892578126,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,268435456,1.6789450073242187,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,268435456,2.040862731933594,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,536870912,3.2079342651367186,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,536870912,3.9222354125976566,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,128,0.004632639884948731,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,128,0.027574079036712645,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,256,0.004595839977264404,sglang_graph
